id_siniestro,codigo_siniestro,score_reglas,ml_proba,ml_threshold,ml_alerta,anom_score_0_1,score_final,semaforo,explicacion,cobertura,sucursal,id_proveedor,etiqueta_fraude_simulada
sin-18a17204,SIN-2026-0001,34,0.7089224367612285,0.75,0,0.7640019119178739,56,AMARILLO,Borde de vigencia <=10d (+8) | RF-02: Evidencia documental (adulteración/inconsistencia) (+10) | Historial asegurado >=3 (+8) | RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.71 | Anomalía=0.76,ROBO,GUAYAQUIL,prov-d14b04f5,1
sin-1713b0d0,SIN-2026-0002,8,0.045987782407538834,0.75,0,0.1537740446023807,10,VERDE,RF-07: Narrativa similar (max_sim=0.97) (+8) | ML prob=0.05 | Anomalía=0.15,ROBO,GUAYAQUIL,prov-b6b79676,0
sin-c886d4e0,SIN-2026-0003,8,0.013727629080325385,0.75,0,0.1885437315037175,10,VERDE,RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.01 | Anomalía=0.19,CHOQUE,MANTA,prov-7d13740f,0
sin-c1e77eda,SIN-2026-0004,12,0.3275215114524708,0.75,0,0.14945337689272076,20,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.33 | Anomalía=0.15,CHOQUE,MANTA,prov-cbe4b286,0
sin-6f220eea,SIN-2026-0005,12,0.2994069278146372,0.75,0,0.12198375072908135,19,VERDE,Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.30 | Anomalía=0.12,ROBO,QUITO,prov-5526123f,0
sin-094f5f17,SIN-2026-0006,8,0.19894930954519197,0.75,0,0.11290490068373944,13,VERDE,RF-07: Narrativa similar (max_sim=0.95) (+8) | ML prob=0.20 | Anomalía=0.11,CHOQUE,CUENCA,prov-b6b79676,0
sin-e06928a9,SIN-2026-0007,15,0.5210674025856815,0.75,0,0.17193330074416088,27,VERDE,Reporte tardío 4–7d (+3) | Historial asegurado =2 (+4) | RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.52 | Anomalía=0.17,DAÑOS,QUITO,prov-a0a6b95e,0
sin-1147d67c,SIN-2026-0008,8,0.17077826619239425,0.75,0,0.22504161455363017,14,VERDE,RF-07: Narrativa similar (max_sim=0.93) (+8) | ML prob=0.17 | Anomalía=0.23,ROBO,CUENCA,prov-24e38d8f,1
sin-76f2e192,SIN-2026-0009,8,0.020209207122774405,0.75,0,0.25010581683882954,11,VERDE,RF-07: Narrativa similar (max_sim=0.94) (+8) | ML prob=0.02 | Anomalía=0.25,CHOQUE,MANTA,prov-b72e8592,0
sin-ee4615b2,SIN-2026-0010,12,0.3240288373356087,0.75,0,0.1386754813021589,20,VERDE,Borde de vigencia 11–30d (+4) | RF-07: Narrativa similar (max_sim=0.92) (+8) | ML prob=0.32 | Anomalía=0.14,DAÑOS,QUITO,prov-d8cc4eb4,0
