id_documento,id_siniestro,tipo_documento,url_archivo,fecha_carga,fecha_emision,entregado,es_legible,posible_adulteracion,inconsistencia_detectada,observacion
doc-a9f3962e,sin-18a17204,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-a9f3962e.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-3cec985d,sin-18a17204,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-3cec985d.pdf,2026-05-28T09:47:53.622888+00:00,,True,False,True,False,
doc-7ed67034,sin-18a17204,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-7ed67034.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-c674e00c,sin-1713b0d0,FACTURA DE REPARACIÓN,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-c674e00c.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-87ad1d61,sin-1713b0d0,COPIA DE CÉDULA,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-87ad1d61.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-5ca812d0,sin-1713b0d0,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-5ca812d0.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-d534cbc6,sin-c886d4e0,COPIA DE CÉDULA,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-d534cbc6.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-4f0abd97,sin-c886d4e0,COPIA DE CÉDULA,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-4f0abd97.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-1152e19b,sin-c1e77eda,COPIA DE CÉDULA,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-1152e19b.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-aaf84791,sin-6f220eea,FACTURA DE REPARACIÓN,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-aaf84791.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-37e1b4c8,sin-6f220eea,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-37e1b4c8.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-5d341e99,sin-6f220eea,COPIA DE CÉDULA,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-5d341e99.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-af9872a4,sin-094f5f17,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-af9872a4.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-0789cae5,sin-094f5f17,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-0789cae5.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-ba0c2dd3,sin-e06928a9,FACTURA DE REPARACIÓN,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-ba0c2dd3.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-889ed948,sin-1147d67c,FACTURA DE REPARACIÓN,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-889ed948.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-0b4f86d9,sin-76f2e192,INFORME DE PERITAJE,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-0b4f86d9.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
doc-b92220a1,sin-76f2e192,COPIA DE CÉDULA,https://tu-bucket.supabase.co/storage/v1/object/public/claims/doc-b92220a1.pdf,2026-05-28T09:47:53.622888+00:00,,True,True,False,False,
