id_poliza,id_asegurado,numero_poliza,ramo,fecha_inicio_vigencia,fecha_fin_vigencia,monto_asegurado,suma_asegurada,prima,deducible,canal_venta,ciudad,tipo_cobertura,estado_poliza
pol-45900ec1,ase-d72ee42d,POL-7AFC1BE8674D,VEHICULOS,2026-04-04T09:47:46.544305+00:00,2027-04-04T09:47:46.544305+00:00,19374.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-b00c7808,ase-94eae60a,POL-8EBCFBD5A941,VEHICULOS,2026-05-08T09:47:46.544305+00:00,2027-05-08T09:47:46.544305+00:00,21712.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-33e7244e,ase-173782b4,POL-F1F01D73D5CD,VEHICULOS,2026-03-13T09:47:46.544305+00:00,2027-03-13T09:47:46.544305+00:00,18566.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-17acf696,ase-c9619b20,POL-55FCCC0C75B9,VEHICULOS,2026-03-16T09:47:46.544305+00:00,2027-03-16T09:47:46.544305+00:00,18618.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-29123e82,ase-25f6082f,POL-74110F17528C,VEHICULOS,2026-03-20T09:47:46.544305+00:00,2027-03-20T09:47:46.544305+00:00,34535.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-7e950b1b,ase-fd189a52,POL-A6ECE2CB6763,VEHICULOS,2026-04-24T09:47:46.544305+00:00,2027-04-24T09:47:46.544305+00:00,37103.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-8de3101e,ase-2e7c7be3,POL-9502D4901373,VEHICULOS,2026-03-26T09:47:46.544305+00:00,2027-03-26T09:47:46.544305+00:00,43001.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-39abce87,ase-5bfdd26f,POL-EA191038E52D,VEHICULOS,2026-05-05T09:47:46.544305+00:00,2027-05-05T09:47:46.544305+00:00,30049.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-675a991d,ase-3f8d9b43,POL-13B8A059C1CA,VEHICULOS,2026-05-09T09:47:46.544305+00:00,2027-05-09T09:47:46.544305+00:00,38327.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-61ace0ed,ase-9b486855,POL-0C19FAAD5514,VEHICULOS,2026-04-07T09:47:46.544305+00:00,2027-04-07T09:47:46.544305+00:00,33724.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-220cd068,ase-8ea07ec5,POL-8EC2A3EF5637,VEHICULOS,2026-04-27T09:47:46.544305+00:00,2027-04-27T09:47:46.544305+00:00,15230.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-5eebd925,ase-ea9c734f,POL-0BE518E9E819,VEHICULOS,2026-03-28T09:47:46.544305+00:00,2027-03-28T09:47:46.544305+00:00,29601.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-b7e8bd44,ase-7d279619,POL-7F70928985E3,VEHICULOS,2026-05-25T09:47:46.544305+00:00,2027-05-25T09:47:46.544305+00:00,34142.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-2d8e5495,ase-47cba42a,POL-940192D2D310,VEHICULOS,2026-04-18T09:47:46.544305+00:00,2027-04-18T09:47:46.544305+00:00,30372.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-f375460b,ase-84a6052c,POL-E812262CBA96,VEHICULOS,2026-02-27T09:47:46.544305+00:00,2027-02-27T09:47:46.544305+00:00,18436.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-01dc3052,ase-f3de7758,POL-25DE50E03C4C,VEHICULOS,2026-05-10T09:47:46.544305+00:00,2027-05-10T09:47:46.544305+00:00,31692.0,,,,,,TODO RIESGO AUTOMOTRIZ,ACTIVA
pol-3ae6d682,ase-034f98c0,POL-D99AD5590D31,VEHICULOS,2026-04-01T09:47:46.544305+00:00,2027-04-01T09:47:46.544305+00:00,33028.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-c2f681fb,ase-b99e8911,POL-C64B2A008AC2,VEHICULOS,2026-04-04T09:47:46.544305+00:00,2027-04-04T09:47:46.544305+00:00,17851.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-df8e8e50,ase-dc046fd8,POL-289EC965FDC5,VEHICULOS,2026-04-01T09:47:46.544305+00:00,2027-04-01T09:47:46.544305+00:00,25853.0,,,,,,VEHÍCULOS PESADOS,ACTIVA
pol-1762e90d,ase-0602ac6a,POL-DACBAF4FA429,VEHICULOS,2026-03-26T09:47:46.544305+00:00,2027-03-26T09:47:46.544305+00:00,36504.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-0379d38f,ase-85afe719,POL-1E188E7EF182,VEHICULOS,2026-03-23T09:47:46.544305+00:00,2027-03-23T09:47:46.544305+00:00,22418.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-16a1c2a1,ase-5263e644,POL-D3BAD33BA146,VEHICULOS,2026-04-18T09:47:46.544305+00:00,2027-04-18T09:47:46.544305+00:00,38436.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
pol-26133f2a,ase-558b2788,POL-1C6C8410762E,VEHICULOS,2026-03-21T09:47:46.544305+00:00,2027-03-21T09:47:46.544305+00:00,13897.0,,,,,,VEHÍCULOS LIVIANOS,ACTIVA
